ProductLabel,Sphere,Cylinder,AntiReflectiveCoating,Id,Name,Deleted,Transitions,RemainingCount,LowInventoryWarning
-0.25/-3.5/Poly/TR,-0.25,-3.50,False,1,Plastic,False,True,0,0
0.25/-3.5/Poly/TR,0.25,-3.50,False,1,Plastic,False,True,0,0
-0.25/-3.75/CR39,-0.25,-3.75,False,2,Plastic2,True,False,0,0
0.25/-3.75/CR39,0.25,-3.75,False,2,Plastic2,True,False,0,0
-0.25/-3.75/CR39/AR,-0.25,-3.75,True,2,Plastic2,True,False,0,0
0.25/-3.75/CR39/AR,0.25,-3.75,True,2,Plastic2,True,False,0,0
-0.25/-3.75/CR39/TR,-0.25,-3.75,False,2,Plastic2,True,True,0,0
0.25/-3.75/CR39/TR,0.25,-3.75,False,2,Plastic2,True,True,0,0
-0.25/-3.75/Poly,-0.25,-3.75,False,1,Plastic,False,False,0,0
0.25/-3.75/Poly,0.25,-3.75,False,1,Plastic,False,False,0,0
-0.25/-3.75/Poly/AR,-0.25,-3.75,True,1,Plastic,False,False,0,0
0.25/-3.75/Poly/AR,0.25,-3.75,True,1,Plastic,False,False,0,0
-0.25/-3.75/Poly/TR,-0.25,-3.75,False,1,Plastic,False,True,0,0
0.25/-3.75/Poly/TR,0.25,-3.75,False,1,Plastic,False,True,0,0
-0.25/-3/CR39,-0.25,-3.00,False,2,Plastic2,True,False,0,0
0.25/-3/CR39,0.25,-3.00,False,2,Plastic2,True,False,0,0
-0.25/-3/CR39/AR,-0.25,-3.00,True,2,Plastic2,True,False,0,0
0.25/-3/CR39/AR,0.25,-3.00,True,2,Plastic2,True,False,0,0
-0.25/-3/CR39/TR,-0.25,-3.00,False,2,Plastic2,True,True,0,0
0.25/-3/CR39/TR,0.25,-3.00,False,2,Plastic2,True,True,0,0
-0.25/-3/Poly,-0.25,-3.00,False,1,Plastic,False,False,0,0
0.25/-3/Poly,0.25,-3.00,False,1,Plastic,False,False,0,0
-0.25/-3/Poly/AR,-0.25,-3.00,True,1,Plastic,False,False,0,0
0.25/-3/Poly/AR,0.25,-3.00,True,1,Plastic,False,False,0,0
-0.25/-3/Poly/TR,-0.25,-3.00,False,1,Plastic,False,True,0,0
0.25/-3/Poly/TR,0.25,-3.00,False,1,Plastic,False,True,0,0
-0.25/-4.25/CR39,-0.25,-4.25,False,2,Plastic2,True,False,0,0
0.25/-4.25/CR39,0.25,-4.25,False,2,Plastic2,True,False,0,0
-0.25/-4.25/CR39/AR,-0.25,-4.25,True,2,Plastic2,True,False,0,0
0.25/-4.25/CR39/AR,0.25,-4.25,True,2,Plastic2,True,False,0,0
-0.25/-4.25/CR39/TR,-0.25,-4.25,False,2,Plastic2,True,True,0,0
0.25/-4.25/CR39/TR,0.25,-4.25,False,2,Plastic2,True,True,0,0
-0.25/-4.25/Poly,-0.25,-4.25,False,1,Plastic,False,False,0,0
0.25/-4.25/Poly,0.25,-4.25,False,1,Plastic,False,False,0,0
-0.25/-4.25/Poly/AR,-0.25,-4.25,True,1,Plastic,False,False,0,0
0.25/-4.25/Poly/AR,0.25,-4.25,True,1,Plastic,False,False,0,0
-0.25/-4.25/Poly/TR,-0.25,-4.25,False,1,Plastic,False,True,0,0
0.25/-4.25/Poly/TR,0.25,-4.25,False,1,Plastic,False,True,0,0
-0.25/-4.5/CR39,-0.25,-4.50,False,2,Plastic2,True,False,0,0
0.25/-4.5/CR39,0.25,-4.50,False,2,Plastic2,True,False,0,0
-0.25/-4.5/CR39/AR,-0.25,-4.50,True,2,Plastic2,True,False,0,0
0.25/-4.5/CR39/AR,0.25,-4.50,True,2,Plastic2,True,False,0,0
-0.25/-4.5/CR39/TR,-0.25,-4.50,False,2,Plastic2,True,True,0,0
0.25/-4.5/CR39/TR,0.25,-4.50,False,2,Plastic2,True,True,0,0
-0.25/-4.5/Poly,-0.25,-4.50,False,1,Plastic,False,False,0,0
0.25/-4.5/Poly,0.25,-4.50,False,1,Plastic,False,False,0,0
-0.25/-4.5/Poly/AR,-0.25,-4.50,True,1,Plastic,False,False,0,0
0.25/-4.5/Poly/AR,0.25,-4.50,True,1,Plastic,False,False,0,0
-0.25/-4.5/Poly/TR,-0.25,-4.50,False,1,Plastic,False,True,0,0
0.25/-4.5/Poly/TR,0.25,-4.50,False,1,Plastic,False,True,0,0
-0.25/-4.75/CR39,-0.25,-4.75,False,2,Plastic2,True,False,0,0
0.25/-4.75/CR39,0.25,-4.75,False,2,Plastic2,True,False,0,0
-0.25/-4.75/CR39/AR,-0.25,-4.75,True,2,Plastic2,True,False,0,0
0.25/-4.75/CR39/AR,0.25,-4.75,True,2,Plastic2,True,False,0,0
-0.25/-4.75/CR39/TR,-0.25,-4.75,False,2,Plastic2,True,True,0,0
0.25/-4.75/CR39/TR,0.25,-4.75,False,2,Plastic2,True,True,0,0
-0.25/-4.75/Poly,-0.25,-4.75,False,1,Plastic,False,False,0,0
0.25/-4.75/Poly,0.25,-4.75,False,1,Plastic,False,False,0,0
-0.25/-4.75/Poly/AR,-0.25,-4.75,True,1,Plastic,False,False,0,0
0.25/-4.75/Poly/AR,0.25,-4.75,True,1,Plastic,False,False,0,0
-0.25/-4.75/Poly/TR,-0.25,-4.75,False,1,Plastic,False,True,0,0
0.25/-4.75/Poly/TR,0.25,-4.75,False,1,Plastic,False,True,0,0
-0.25/-4/CR39,-0.25,-4.00,False,2,Plastic2,True,False,0,0
0.25/-4/CR39,0.25,-4.00,False,2,Plastic2,True,False,0,0
-0.25/-4/CR39/AR,-0.25,-4.00,True,2,Plastic2,True,False,0,0
0.25/-4/CR39/AR,0.25,-4.00,True,2,Plastic2,True,False,0,0
-0.25/-4/CR39/TR,-0.25,-4.00,False,2,Plastic2,True,True,0,0
0.25/-4/CR39/TR,0.25,-4.00,False,2,Plastic2,True,True,0,0
-0.25/-4/Poly,-0.25,-4.00,False,1,Plastic,False,False,0,0
0.25/-4/Poly,0.25,-4.00,False,1,Plastic,False,False,0,0
-0.25/-4/Poly/AR,-0.25,-4.00,True,1,Plastic,False,False,0,0
0.25/-4/Poly/AR,0.25,-4.00,True,1,Plastic,False,False,0,0
